"rikkumine","Eesti","Linnad","Tartu"
"Avaliku korra rikkumine",2,3,4
"Juhtimine joobeseisundis",6,5,5
"Kiiruseületamine",34,26,24
"Liikleja (va mootorsõidukijuht) liiklusrikkumine",6,9,5
"Teised liiklusrikkumised",30,34,21
"Teised varavastased süüteod",13,18,7
"Vargus, röövimine või omastamine",10,13,8
